VersionInfo.ProductName,VersionInfo.ProductVersion,VersionInfo.FileVersion,OpenArrayPlate.SerialNumber,OpenArrayPlate.ChipTransformsApplied,Assay.Assay ID,Assay.Assay Number,Assay.TaqMan Assay ID,Assay.Assay Name,Assay.Assay Type,Assay.Assay Pool,Assay.AmplificationCurveDyeNames.0,ThroughHole.Ct,ThroughHole.Concentration,ThroughHole.ConcentrationUnit,ThroughHole.Outlier,ThroughHole.CtConfidence,ThroughHole.Tm,ThroughHole.TmData.Area,ThroughHole.Address,ThroughHole.IntensityData.ROX.1,ThroughHole.IntensityData.FAMTP.1,SamplePlate.SerialNumber,SampleInfo.SampleID,SampleInfo.Description,SampleInfo.Dilution
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002228_hsa-miR-126,10,TM002228,hsa-miR-126,TARG,A,FAMTP,14.234,,,FALSE,1075.675166,,0,A10a2,234.8635906,3308.079316,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002228_hsa-miR-126,10,TM002228,hsa-miR-126,TARG,A,FAMTP,15.918,,,FALSE,1207.161538,,0,A10a2,208.5804726,3287.109229,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002465_mmu-miR-105,11,TM002465,mmu-miR-105,TARG,A,FAMTP,40,,,FALSE,48.77489395,,0,A10a3,250.9602751,3179.67085,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002465_mmu-miR-105,11,TM002465,mmu-miR-105,TARG,A,FAMTP,40,,,FALSE,41.26599096,,0,A10a3,193.728629,3086.173691,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000451_hsa-miR-126#,12,TM000451,hsa-miR-126#,TARG,A,FAMTP,12.107,,,FALSE,1504.894526,,0,A10a4,253.88529,3090.771123,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000451_hsa-miR-126#,12,TM000451,hsa-miR-126#,TARG,A,FAMTP,17.076,,,FALSE,1124.622844,,0,A10a4,203.5792498,3050.519869,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001230_snoRNA135,797,TM001230,snoRNA135,ENDO,B,FAMTP,16.173,,,FALSE,792.3404313,,0,A10a5,238.9875705,3957.562633,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001230_snoRNA135,797,TM001230,snoRNA135,ENDO,B,FAMTP,16.803,,,FALSE,743.8007352,,0,A10a5,192.0635205,3677.003231,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,000452_hsa-miR-127,14,TM000452,hsa-miR-127,TARG,A,FAMTP,16.176,,,FALSE,1225.675991,,0,A10a6,239.7824348,3366.120983,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,000452_hsa-miR-127,14,TM000452,hsa-miR-127,TARG,A,FAMTP,20.715,,,FALSE,1247.653085,,0,A10a6,198.78239,3268.300756,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002245_hsa-miR-122,15,TM002245,hsa-miR-122,TARG,A,FAMTP,40,,,FALSE,47.79321114,,0,A10a7,247.8058499,3330.59503,GNP81,A1,ctrl,1
