Chip Run Filename,R:\ChipRun.bml
Application Version,2.1.1
Application Build,20090521.1135
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S48-A01,no preamp,Unknown,0.05,b actin,Test,34.6154024701642,0.85,Pass,0.054349316579291
S48-A02,no preamp,Unknown,0.05,b actin,Test,999,0,Fail,0.054349316579291
S48-A03,no preamp,Unknown,0.05,b actin,Test,999,0,Fail,0.054349316579291
S48-A04,no preamp,Unknown,0.05,b actin,Test,31.964757779445,0.85,Pass,0.054349316579291
S48-A05,no preamp,Unknown,0.05,b actin,Test,32.0432722006093,0.87,Pass,0.054349316579291
S48-A06,no preamp,Unknown,0.05,b actin,Test,37.4859887361238,0.79,Pass,0.054349316579291
S48-A07,no preamp,Unknown,0.05,b actin,Test,32.5621751261573,0.47,Fail,0.054349316579291
S48-A08,no preamp,Unknown,0.05,b actin,Test,31.8665573090649,0.84,Pass,0.054349316579291
S48-A09,no preamp,Unknown,0.05,b actin,Test,32.2632170972041,0.6,Fail,0.054349316579291
S48-A10,no preamp,Unknown,0.05,b actin,Test,31.3047514924,0.64,Fail,0.054349316579291
S48-A11,no preamp,Unknown,0.05,b actin,Test,30.1918302686982,0.86,Pass,0.054349316579291
S48-A12,no preamp,Unknown,0.05,b actin,Test,30.0210315256904,0.63,Fail,0.054349316579291
S48-A13,no preamp,Unknown,0.05,GAPDH,Test,25.5938653896012,0.93,Pass,0.054349316579291
S48-A14,no preamp,Unknown,0.05,GAPDH,Test,24.9866230047241,0.93,Pass,0.054349316579291
S48-A15,no preamp,Unknown,0.05,GAPDH,Test,25.520598044464,0.92,Pass,0.054349316579291
S48-A16,no preamp,Unknown,0.05,GAPDH,Test,26.2671008093415,0.93,Pass,0.054349316579291
S48-A17,no preamp,Unknown,0.05,GAPDH,Test,24.5607434043669,0.93,Pass,0.054349316579291
S48-A18,no preamp,Unknown,0.05,GAPDH,Test,24.7509770602484,0.91,Pass,0.054349316579291
S48-A19,no preamp,Unknown,0.05,GAPDH,Test,24.740243676579,0.93,Pass,0.054349316579291
S48-A20,no preamp,Unknown,0.05,GAPDH,Test,24.8935116593909,0.93,Pass,0.054349316579291
S48-A21,no preamp,Unknown,0.05,GAPDH,Test,25.0271708555079,0.89,Pass,0.054349316579291
S48-A22,no preamp,Unknown,0.05,GAPDH,Test,25.1569252246101,0.93,Pass,0.054349316579291
S48-A23,no preamp,Unknown,0.05,GAPDH,Test,24.0512570289869,0.93,Pass,0.054349316579291
S48-A24,no preamp,Unknown,0.05,GAPDH,Test,24.8628358642356,0.92,Pass,0.054349316579291
S48-A25,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A26,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A27,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A28,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A29,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A30,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A31,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A32,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A33,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A34,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A35,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A36,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S48-A37,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A38,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A39,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A40,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A41,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A42,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A43,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A44,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A45,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A46,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S48-A47,no preamp,Unknown,0.05,SDHA,Test,30.5796783410361,0.82,Pass,0.054349316579291
S48-A48,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S03-A01,preamp neat,Unknown,50,b actin,Test,7.48613722497798,0.78,Pass,0.054349316579291
S03-A02,preamp neat,Unknown,50,b actin,Test,7.77994474259806,0.72,Pass,0.054349316579291
S03-A03,preamp neat,Unknown,50,b actin,Test,7.58454356373572,0.75,Pass,0.054349316579291
S03-A04,preamp neat,Unknown,50,b actin,Test,7.80541044416128,0.74,Pass,0.054349316579291
S03-A05,preamp neat,Unknown,50,b actin,Test,7.37207979935433,0.76,Pass,0.054349316579291
S03-A06,preamp neat,Unknown,50,b actin,Test,7.12470393138565,0.76,Pass,0.054349316579291
S03-A07,preamp neat,Unknown,50,b actin,Test,7.579242104527,0.75,Pass,0.054349316579291
S03-A08,preamp neat,Unknown,50,b actin,Test,7.55469118523476,0.75,Pass,0.054349316579291
S03-A09,preamp neat,Unknown,50,b actin,Test,7.3602328575985,0.72,Pass,0.054349316579291
S03-A10,preamp neat,Unknown,50,b actin,Test,7.76567233136075,0.71,Pass,0.054349316579291
S03-A11,preamp neat,Unknown,50,b actin,Test,7.60700500017475,0.75,Pass,0.054349316579291
S03-A12,preamp neat,Unknown,50,b actin,Test,7.29242859899093,0.74,Pass,0.054349316579291
S03-A13,preamp neat,Unknown,50,GAPDH,Test,5.80706915704583,0.66,Pass,0.054349316579291
S03-A14,preamp neat,Unknown,50,GAPDH,Test,5.77382200163744,0.64,Fail,0.054349316579291
S03-A15,preamp neat,Unknown,50,GAPDH,Test,5.52848653499978,0.59,Fail,0.054349316579291
S03-A16,preamp neat,Unknown,50,GAPDH,Test,5.93205837481618,0.61,Fail,0.054349316579291
S03-A17,preamp neat,Unknown,50,GAPDH,Test,5.81111042135716,0.56,Fail,0.054349316579291
S03-A18,preamp neat,Unknown,50,GAPDH,Test,5.44495961567813,0.59,Fail,0.054349316579291
S03-A19,preamp neat,Unknown,50,GAPDH,Test,5.86338585538154,0.56,Fail,0.054349316579291
S03-A20,preamp neat,Unknown,50,GAPDH,Test,5.65099529657212,0.58,Fail,0.054349316579291
S03-A21,preamp neat,Unknown,50,GAPDH,Test,5.43999226453286,0.59,Fail,0.054349316579291
S03-A22,preamp neat,Unknown,50,GAPDH,Test,5.81278300681719,0.61,Fail,0.054349316579291
S03-A23,preamp neat,Unknown,50,GAPDH,Test,5.61213472553003,0.57,Fail,0.054349316579291
S03-A24,preamp neat,Unknown,50,GAPDH,Test,5.4368789144703,0.59,Fail,0.054349316579291
S03-A25,preamp neat,Unknown,50,HPRT,Test,10.8133086575431,0.92,Pass,0.054349316579291
S03-A26,preamp neat,Unknown,50,HPRT,Test,10.8497665695153,0.91,Pass,0.054349316579291
S03-A27,preamp neat,Unknown,50,HPRT,Test,10.6599280971343,0.92,Pass,0.054349316579291
S03-A28,preamp neat,Unknown,50,HPRT,Test,10.8229254883544,0.91,Pass,0.054349316579291
S03-A29,preamp neat,Unknown,50,HPRT,Test,10.9288655492462,0.91,Pass,0.054349316579291
S03-A30,preamp neat,Unknown,50,HPRT,Test,10.8760312280353,0.92,Pass,0.054349316579291
S03-A31,preamp neat,Unknown,50,HPRT,Test,10.7952430462498,0.87,Pass,0.054349316579291
S03-A32,preamp neat,Unknown,50,HPRT,Test,10.8085722141895,0.93,Pass,0.054349316579291
S03-A33,preamp neat,Unknown,50,HPRT,Test,10.8826638154971,0.89,Pass,0.054349316579291
S03-A34,preamp neat,Unknown,50,HPRT,Test,11.0796476953493,0.92,Pass,0.054349316579291
S03-A35,preamp neat,Unknown,50,HPRT,Test,10.826395333302,0.89,Pass,0.054349316579291
S03-A36,preamp neat,Unknown,50,HPRT,Test,10.4389644265313,0.89,Pass,0.054349316579291
S03-A37,preamp neat,Unknown,50,SDHA,Test,12.8408744472265,0.88,Pass,0.054349316579291
S03-A38,preamp neat,Unknown,50,SDHA,Test,12.4034362497144,0.91,Pass,0.054349316579291
S03-A39,preamp neat,Unknown,50,SDHA,Test,12.1408645489691,0.92,Pass,0.054349316579291
S03-A40,preamp neat,Unknown,50,SDHA,Test,12.6531704052317,0.88,Pass,0.054349316579291
S03-A41,preamp neat,Unknown,50,SDHA,Test,12.257875039159,0.92,Pass,0.054349316579291
S03-A42,preamp neat,Unknown,50,SDHA,Test,12.3400383811582,0.88,Pass,0.054349316579291
S03-A43,preamp neat,Unknown,50,SDHA,Test,12.6115108977969,0.92,Pass,0.054349316579291
S03-A44,preamp neat,Unknown,50,SDHA,Test,12.2748786711277,0.93,Pass,0.054349316579291
S03-A45,preamp neat,Unknown,50,SDHA,Test,12.0148190831383,0.88,Pass,0.054349316579291
S03-A46,preamp neat,Unknown,50,SDHA,Test,12.2124068252843,0.93,Pass,0.054349316579291
S03-A47,preamp neat,Unknown,50,SDHA,Test,12.0204693507715,0.92,Pass,0.054349316579291
S03-A48,preamp neat,Unknown,50,SDHA,Test,11.7462495870984,0.93,Pass,0.054349316579291
S47-A01,no preamp,Unknown,0.05,b actin,Test,34.7006307852799,0.76,Pass,0.054349316579291
S47-A02,no preamp,Unknown,0.05,b actin,Test,32.3014134745592,0.89,Pass,0.054349316579291
S47-A03,no preamp,Unknown,0.05,b actin,Test,32.4576993397421,0.89,Pass,0.054349316579291
S47-A04,no preamp,Unknown,0.05,b actin,Test,32.6229919687836,0.87,Pass,0.054349316579291
S47-A05,no preamp,Unknown,0.05,b actin,Test,36.3857349182687,0.63,Fail,0.054349316579291
S47-A06,no preamp,Unknown,0.05,b actin,Test,30.2511993549114,0.73,Pass,0.054349316579291
S47-A07,no preamp,Unknown,0.05,b actin,Test,33.0567764282641,0.87,Pass,0.054349316579291
S47-A08,no preamp,Unknown,0.05,b actin,Test,35.1528958858848,0.76,Pass,0.054349316579291
S47-A09,no preamp,Unknown,0.05,b actin,Test,34.2114083248899,0.86,Pass,0.054349316579291
S47-A10,no preamp,Unknown,0.05,b actin,Test,999,0,Fail,0.054349316579291
S47-A11,no preamp,Unknown,0.05,b actin,Test,999,0,Fail,0.054349316579291
S47-A12,no preamp,Unknown,0.05,b actin,Test,30.6965181498501,0.87,Pass,0.054349316579291
S47-A13,no preamp,Unknown,0.05,GAPDH,Test,24.3088924564592,0.93,Pass,0.054349316579291
S47-A14,no preamp,Unknown,0.05,GAPDH,Test,26.1401005238998,0.93,Pass,0.054349316579291
S47-A15,no preamp,Unknown,0.05,GAPDH,Test,24.8291550083213,0.93,Pass,0.054349316579291
S47-A16,no preamp,Unknown,0.05,GAPDH,Test,25.8348016800076,0.93,Pass,0.054349316579291
S47-A17,no preamp,Unknown,0.05,GAPDH,Test,26.352079502569,0.93,Pass,0.054349316579291
S47-A18,no preamp,Unknown,0.05,GAPDH,Test,25.5865089963144,0.89,Pass,0.054349316579291
S47-A19,no preamp,Unknown,0.05,GAPDH,Test,25.6034836492213,0.93,Pass,0.054349316579291
S47-A20,no preamp,Unknown,0.05,GAPDH,Test,24.544110554144,0.93,Pass,0.054349316579291
S47-A21,no preamp,Unknown,0.05,GAPDH,Test,24.2199299310091,0.93,Pass,0.054349316579291
S47-A22,no preamp,Unknown,0.05,GAPDH,Test,25.8591630018765,0.92,Pass,0.054349316579291
S47-A23,no preamp,Unknown,0.05,GAPDH,Test,26.4857041210308,0.9,Pass,0.054349316579291
S47-A24,no preamp,Unknown,0.05,GAPDH,Test,24.8609501819417,0.93,Pass,0.054349316579291
S47-A25,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A26,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A27,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A28,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A29,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A30,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A31,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A32,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A33,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A34,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A35,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A36,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S47-A37,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A38,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A39,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A40,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A41,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A42,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A43,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A44,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A45,no preamp,Unknown,0.05,SDHA,Test,30.865988996317,0.84,Pass,0.054349316579291
S47-A46,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A47,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S47-A48,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S02-A01,preamp neat,Unknown,50,b actin,Test,7.13885196573348,0.81,Pass,0.054349316579291
S02-A02,preamp neat,Unknown,50,b actin,Test,7.37808760909788,0.75,Pass,0.054349316579291
S02-A03,preamp neat,Unknown,50,b actin,Test,7.20580766912444,0.72,Pass,0.054349316579291
S02-A04,preamp neat,Unknown,50,b actin,Test,7.44071423088632,0.74,Pass,0.054349316579291
S02-A05,preamp neat,Unknown,50,b actin,Test,7.02193546531652,0.72,Pass,0.054349316579291
S02-A06,preamp neat,Unknown,50,b actin,Test,6.76810069827464,0.75,Pass,0.054349316579291
S02-A07,preamp neat,Unknown,50,b actin,Test,7.2404332770881,0.75,Pass,0.054349316579291
S02-A08,preamp neat,Unknown,50,b actin,Test,7.14308373632654,0.74,Pass,0.054349316579291
S02-A09,preamp neat,Unknown,50,b actin,Test,6.99861852756608,0.72,Pass,0.054349316579291
S02-A10,preamp neat,Unknown,50,b actin,Test,7.36061399973156,0.74,Pass,0.054349316579291
